Артикул;Вес;Кросс1;Кросс2;URL;file-download
"US - 2280101";"Kg.";"<tbody> <tr> <th> AIRKRAFT </th> <td> 126013 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> A6393280101 </td> </tr> <tr> <th> </th> <td> 6393280101 </td> </tr> <tr> <th> </th> <td> CDI 2.2 ab 09/2003, 80-110 kW </td> </tr> <tr> <th> </th> <td> 109-111-115-119-122 CDI 2.2 </td> </tr> <tr> <th> </th> <td> 109-111-115 CDI 2.2 </td> </tr> <tr> <th> </th> <td> 119-122 CDI 3.2 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/72";"US - 2280101.png"
"US - 258024 K";"Kg.";"<tbody> <tr> <th> VIBRACOUSTIC </th> <td> VI0058024 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 7421821030 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/74";"US - 258024 K.png"
"US - 200907";"0,5 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> SZ828 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 125122 </td> </tr> </tbody>";"<tbody> </tbody>";"http://www.usmerkaucuk.com/products/details/c/90";"US - 200907.png"
"US - 200908";"0,7 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> SZ538 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 125120 </td> </tr> </tbody>";"<tbody> </tbody>";"http://www.usmerkaucuk.com/products/details/c/91";"US - 200908.png"
"US - 200906";"0,5 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> 880Z </td> </tr> <tr> <th> AIRKRAFT </th> <td> 125111 </td> </tr> </tbody>";"<tbody> </tbody>";"http://www.usmerkaucuk.com/products/details/c/89";"US - 200906.png"
"US - 2280101";"Kg.";"<tbody> <tr> <th> AIRKRAFT </th> <td> 126013 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> A6393280101 </td> </tr> <tr> <th> </th> <td> 6393280101 </td> </tr> <tr> <th> </th> <td> CDI 2.2 ab 09/2003, 80-110 kW </td> </tr> <tr> <th> </th> <td> 109-111-115-119-122 CDI 2.2 </td> </tr> <tr> <th> </th> <td> 109-111-115 CDI 2.2 </td> </tr> <tr> <th> </th> <td> 119-122 CDI 3.2 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/72";"US - 2280101.png"
"US - 200908";"0,7 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> SZ538 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 125120 </td> </tr> </tbody>";"<tbody> </tbody>";"http://www.usmerkaucuk.com/products/details/c/91";"US - 200908.png"
"US - 200907";"0,5 Kg.";"<tbody> <tr> <th> CONTITECH </th> <td> SZ828 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 125122 </td> </tr> </tbody>";"<tbody> </tbody>";"http://www.usmerkaucuk.com/products/details/c/90";"US - 200907.png"
"US - 258024 K";"Kg.";"<tbody> <tr> <th> VIBRACOUSTIC </th> <td> VI0058024 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 7421821030 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/74";"US - 258024 K.png"
"US - 228490 K";"2,9 Kg.";"<tbody> <tr> <th> MAYSAN </th> <td> N7370502 </td> </tr> <tr> <th> MANDO </th> <td> 7370502 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 52RS028490 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/73";"US - 228490 K.png"
"US - 209103 K";"Kg.";"<tbody> </tbody>";"<tbody> </tbody>";"http://www.usmerkaucuk.com/products/details/c/71";"US - 209103 K.png"
"US - 209101 K";"Kg.";"<tbody> </tbody>";"<tbody> </tbody>";"http://www.usmerkaucuk.com/products/details/c/70";"US - 209101 K.png"
"US - 208203 K";"3,42 Kg.";"<tbody> </tbody>";"<tbody> </tbody>";"http://www.usmerkaucuk.com/products/details/c/69";"US - 208203 K.png"
"US - 208201 K";"Kg.";"<tbody> </tbody>";"<tbody> </tbody>";"http://www.usmerkaucuk.com/products/details/c/68";"US - 208201 K.png"
"US - 208103 K";"Kg.";"<tbody> </tbody>";"<tbody> </tbody>";"http://www.usmerkaucuk.com/products/details/c/67";"US - 208103 K.png"
"US - 208101 K";"Kg.";"<tbody> </tbody>";"<tbody> </tbody>";"http://www.usmerkaucuk.com/products/details/c/66";"US - 208101 K.png"
"US - 207103 K";"4 Kg.";"<tbody> <tr> <th> MONROE </th> <td> CB0034 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1SAAS010 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 128034K </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 1265282 </td> </tr> <tr> <th> </th> <td> 1285394 </td> </tr> <tr> <th> </th> <td> 1321591 </td> </tr> <tr> <th> </th> <td> 1353451 </td> </tr> <tr> <th> </th> <td> 1353454 </td> </tr> <tr> <th> </th> <td> 1371066 </td> </tr> <tr> <th> </th> <td> 1623477 </td> </tr> <tr> <th> </th> <td> 299862 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/65";"US - 207103 K.png"
"US - 207101 K";"4 Kg.";"<tbody> <tr> <th> MONROE </th> <td> CB0033 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1SAAS009 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 128033K </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 1265281 </td> </tr> <tr> <th> </th> <td> 1285393 </td> </tr> <tr> <th> </th> <td> 1321590 </td> </tr> <tr> <th> </th> <td> 1353450 </td> </tr> <tr> <th> </th> <td> 1353453 </td> </tr> <tr> <th> </th> <td> 1371065 </td> </tr> <tr> <th> </th> <td> 1444147 </td> </tr> <tr> <th> </th> <td> 1622211 </td> </tr> <tr> <th> </th> <td> 375224 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/64";"US - 207101 K.png"
"US - 206303 K";"3,5 Kg.";"<tbody> <tr> <th> MONROE </th> <td> CB0006 </td> </tr> <tr> <th> MONROE </th> <td> 717269647 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 1076855 </td> </tr> <tr> <th> </th> <td> 20889134 </td> </tr> <tr> <th> </th> <td> 20721167 </td> </tr> <tr> <th> </th> <td> 20889138 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/60";"US - 206303 K.png"
"US - 206203 K";"3,6 Kg.";"<tbody> <tr> <th> MONROE </th> <td> CB0002 </td> </tr> <tr> <th> MONROE </th> <td> 717269602 </td> </tr> <tr> <th> GOODYEAR </th> <td> 1SAAS002 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 128022K </td> </tr> <tr> <th> FIRESTONE </th> <td> W02M588038 </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 1075076 </td> </tr> <tr> <th> </th> <td> 1075077 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/59";"US - 206203 K.png"
"US - 206201 K1";"3,1 Kg.";"<tbody> <tr> <th> MONROE </th> <td> CB0055 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 128024K </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 20453256(SLEEVE) </td> </tr> <tr> <th> </th> <td> 21111932-1 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/58";"US - 206201 K1.png"
"US - 206201 K";"3 Kg.";"<tbody> <tr> <th> MONROE </th> <td> CB0039 </td> </tr> <tr> <th> MONROE </th> <td> CB0055 </td> </tr> <tr> <th> AIRKRAFT </th> <td> 128023K </td> </tr> </tbody>";"<tbody> <tr> <th> </th> <td> 20453256(SLEEVE) </td> </tr> <tr> <th> </th> <td> 20889132-1 </td> </tr> <tr> <th> </th> <td> 20453258 </td> </tr> </tbody>";"http://www.usmerkaucuk.com/products/details/c/57";"US - 206201 K.png"
